in_channels,f_height,subsampling_factor,latency_mean
1,4,1,0.0011522695422172546
1,4,2,0.0061834207735955715
6,4,1,0.0011175498366355896
6,4,2,0.004715330433100462
11,4,1,0.0012429081834852695
11,4,2,0.007502250373363495
16,4,1,0.0011364719830453396
16,4,2,0.007539840880781412
21,4,1,0.0011277594603598118
21,4,2,0.00791548052802682
26,4,1,0.0011174101382493973
26,4,2,0.006323629058897495
31,4,1,0.0010942388325929642
31,4,2,0.006499660667032003
36,4,1,0.0010820897296071053
36,4,2,0.006717019714415073
41,4,1,0.0010911584831774235
41,4,2,0.007143928669393063
46,4,1,0.0010902900248765945
46,4,2,0.010266390163451433
51,4,1,0.0015979702584445477
51,4,2,0.00781971961259842
56,4,1,0.0010882806964218616
56,4,2,0.008253229316323996
61,4,1,0.0012837909162044525
61,4,2,0.011634300462901592
66,4,1,0.0015872297808527946
66,4,2,0.011986689642071724
71,4,1,0.0010940898209810257
71,4,2,0.008848810102790594
76,4,1,0.001128888688981533
76,4,2,0.01296664122492075
81,4,1,0.00109085813164711
81,4,2,0.009677340276539326
86,4,1,0.0010903505608439445
86,4,2,0.013984041288495064
91,4,1,0.0010972819291055202
91,4,2,0.010067939292639494
96,4,1,0.0018545286729931831
96,4,2,0.014706749934703112
101,4,1,0.001100099179893732
101,4,2,0.015304561238735914
106,4,1,0.0010808906517922878
106,4,2,0.015772900078445673
111,4,1,0.0010913400910794735
111,4,2,0.011529959738254547
116,4,1,0.0012723798863589764
116,4,2,0.016630238387733698
121,4,1,0.0011853687465190887
121,4,2,0.012042759917676449
126,4,1,0.0011058198288083076
126,4,2,0.0122221396304667
131,4,1,0.0011064601130783558
131,4,2,0.012745140120387077
136,4,1,0.001100150402635336
136,4,2,0.012880801223218441
141,4,1,0.0012124096974730492
141,4,2,0.019259550608694553
146,4,1,0.0014083296991884708
146,4,2,0.019423968624323606
1,5,1,0.0010876404121518135
1,5,2,0.0060113403014838696
6,5,1,0.0015794788487255573
6,5,2,0.006637158803641796
11,5,1,0.0010910490527749062
11,5,2,0.0070145889185369015
16,5,1,0.0010960712097585201
16,5,2,0.007683751173317432
21,5,1,0.001234689261764288
21,5,2,0.00815904000774026
26,5,1,0.0010987394489347935
26,5,2,0.006304620765149593
31,5,1,0.001099701039493084
31,5,2,0.006527940277010202
36,5,1,0.0014975806698203087
36,5,2,0.00942399026826024
41,5,1,0.001583341509103775
41,5,2,0.009901861194521189
46,5,1,0.001095910556614399
46,5,2,0.010433278512209654
51,5,1,0.0016130320727825165
51,5,2,0.010745609179139137
56,5,1,0.0010948395356535912
56,5,2,0.011328340042382479
61,5,1,0.0010887300595641136
61,5,2,0.011693721171468496
66,5,1,0.001088900025933981
66,5,2,0.012283120304346085
71,5,1,0.0014788913540542126
71,5,2,0.01279094023630023
76,5,1,0.0015867012552917004
76,5,2,0.013542091473937035
81,5,1,0.0010994193144142628
81,5,2,0.009666560217738152
86,5,1,0.0010959594510495663
86,5,2,0.014188610948622227
91,5,1,0.0014819600619375706
91,5,2,0.014474871568381786
96,5,1,0.0015868991613388062
96,5,2,0.010884890798479319
101,5,1,0.0010883482173085213
101,5,2,0.01946263015270233
106,5,1,0.0011085695587098598
106,5,2,0.014280648902058601
111,5,1,0.0010889791883528233
111,5,2,0.011455670464783907
116,5,1,0.001082110684365034
116,5,2,0.016918270848691463
121,5,1,0.0011018989607691765
121,5,2,0.017294930294156075
126,5,1,0.0012603309005498886
126,5,2,0.017944590654224157
131,5,1,0.0010997988283634186
131,5,2,0.01826693071052432
136,5,1,0.0010970095172524452
136,5,2,0.02292968099936843
141,5,1,0.0010868208482861519
141,5,2,0.013292150106281042
146,5,1,0.0010839896276593208
146,5,2,0.014865200500935316
1,6,1,0.0011020200327038765
1,6,2,0.00757887028157711
6,6,1,0.0010861805640161037
6,6,2,0.006817008834332228
11,6,1,0.001088420394808054
11,6,2,0.007102340459823608
16,6,1,0.001085079275071621
16,6,2,0.009926760103553534
21,6,1,0.0013187085278332233
21,6,2,0.010343161411583424
26,6,1,0.0011078896932303905
26,6,2,0.011184071190655231
31,6,1,0.001096460036933422
31,6,2,0.01233748160302639
36,6,1,0.0010844995267689228
36,6,2,0.0132822897285223
41,6,1,0.001091579906642437
41,6,2,0.014241698663681746
46,6,1,0.0011336500756442547
46,6,2,0.015421321149915459
51,6,1,0.0010950607247650623
51,6,2,0.016415459103882313
56,6,1,0.001249730121344328
56,6,2,0.017392239533364773
61,6,1,0.001090560108423233
61,6,2,0.013535788748413324
66,6,1,0.0010997988283634186
66,6,2,0.02360811922699213
71,6,1,0.001094380859285593
71,6,2,0.014378929045051336
76,6,1,0.0011134613305330276
76,6,2,0.02153127919882536
81,6,1,0.0010915310122072697
81,6,2,0.02290520118549466
86,6,1,0.001229818444699049
86,6,2,0.017288420349359512
91,6,1,0.0011009909212589264
91,6,2,0.024457310792058706
96,6,1,0.0011053611524403095
96,6,2,0.025508920662105083
101,6,1,0.0010876008309423923
101,6,2,0.02653807168826461
106,6,1,0.0010855402797460556
106,6,2,0.019221121910959482
111,6,1,0.0011082901619374752
111,6,2,0.02851545112207532
116,6,1,0.0010838382877409458
116,6,2,0.02962936880066991
121,6,1,0.0010912306606769562
121,6,2,0.03062424017116427
126,6,1,0.0013399007730185986
126,6,2,0.02153143985196948
131,6,1,0.0021155294962227345
131,6,2,0.03292169887572527
136,6,1,0.0011127791367471218
136,6,2,0.023135291412472725
141,6,1,0.0010914611630141735
141,6,2,0.02452956046909094
146,6,1,0.0010939594358205795
146,6,2,0.035571970511227846
1,7,1,0.0010834401473402977
1,7,2,0.004755530972033739
6,7,1,0.0011983304284512997
6,7,2,0.00546691007912159
11,7,1,0.00108740059658885
11,7,2,0.006084761116653681
16,7,1,0.0010788184590637684
16,7,2,0.009463541209697723
21,7,1,0.0010921596549451351
21,7,2,0.010415450669825077
26,7,1,0.001097358763217926
26,7,2,0.011403399985283613
31,7,1,0.0010845018550753593
31,7,2,0.008921402040868998
36,7,1,0.0010940805077552795
36,7,2,0.009377531241625547
41,7,1,0.0010796310380101204
41,7,2,0.014532431960105896
46,7,1,0.0011697900481522083
46,7,2,0.015611429698765278
51,7,1,0.001103819813579321
51,7,2,0.011524490546435118
56,7,1,0.0010814890265464783
56,7,2,0.01781419850885868
61,7,1,0.001089470461010933
61,7,2,0.013135441113263369
66,7,1,0.0010869000107049942
66,7,2,0.013528759591281414
71,7,1,0.0010907789692282677
71,7,2,0.015200527850538492
76,7,1,0.0010913400910794735
76,7,2,0.01501578139141202
81,7,1,0.0010932213626801968
81,7,2,0.015693090390414
86,7,1,0.0010902201756834984
86,7,2,0.023922189138829708
91,7,1,0.0010872003622353077
91,7,2,0.01718686893582344
96,7,1,0.0010949792340397835
96,7,2,0.018126340582966805
101,7,1,0.0010915007442235947
101,7,2,0.026844891253858805
106,7,1,0.001089379657059908
106,7,2,0.018977948930114508
111,7,1,0.001099130604416132
111,7,2,0.019607648719102144
116,7,1,0.0010829209350049496
116,7,2,0.02082246821373701
121,7,1,0.0010846485383808613
121,7,2,0.02146356040611863
126,7,1,0.0013065198436379433
126,7,2,0.032127080485224724
131,7,1,0.0010891794227063656
131,7,2,0.03306684084236622
136,7,1,0.0010188715532422066
136,7,2,0.034207741264253855
141,7,1,0.0010905507951974869
141,7,2,0.02688713138923049
146,7,1,0.0010811095125973225
146,7,2,0.025005030911415815
1,8,1,0.0010856008157134056
1,8,2,0.00642252154648304
6,8,1,0.001087789423763752
6,8,2,0.005993898957967758
11,8,1,0.0015878211706876755
11,8,2,0.010125641711056232
16,8,1,0.0010859407484531403
16,8,2,0.008413230534642935
21,8,1,0.0010921293869614601
21,8,2,0.013810282107442617
26,8,1,0.0010881200432777405
26,8,2,0.010783919133245945
31,8,1,0.001092029269784689
31,8,2,0.01731035066768527
36,8,1,0.0011429493315517902
36,8,2,0.014105380978435278
41,8,1,0.0010890886187553406
41,8,2,0.02092052949592471
46,8,1,0.0014612381346523762
46,8,2,0.015669919084757566
51,8,1,0.0010884902440011501
51,8,2,0.017519500106573105
56,8,1,0.0010794401168823242
56,8,2,0.02604183042421937
61,8,1,0.0017357897013425827
61,8,2,0.027811299078166485
66,8,1,0.0015738396905362606
66,8,2,0.020362609066069126
71,8,1,0.001246389001607895
71,8,2,0.03126383060589433
76,8,1,0.0011045485734939575
76,8,2,0.026170420460402966
81,8,1,0.0011083600111305714
81,8,2,0.035079759545624256
86,8,1,0.001564652193337679
86,8,2,0.03656279994174838
91,8,1,0.001083877868950367
91,8,2,0.03850021166726947
96,8,1,0.0010790582746267319
96,8,2,0.028087140526622534
101,8,1,0.0015845615416765213
101,8,2,0.04193997010588646
106,8,1,0.0010784203186631203
106,8,2,0.030272260773926973
111,8,1,0.0015800213441252708
111,8,2,0.045580780133605
116,8,1,0.001072960440069437
116,8,2,0.04697960102930665
121,8,1,0.0016598193906247616
121,8,2,0.04897363018244505
126,8,1,0.001491159200668335
126,8,2,0.050877430476248264
131,8,1,0.0010776310227811337
131,8,2,0.05277050891891122
136,8,1,0.0010867603123188019
136,8,2,0.05455577978864312
141,8,1,0.0010794377885758877
141,8,2,0.03848884953185916
146,8,1,0.001078678760677576
146,8,2,0.05786698078736663
1,9,1,0.0012949295341968536
1,9,2,0.006611670833081007
6,9,1,0.0010815891437232494
6,9,2,0.006159539334475994
11,9,1,0.001159298699349165
11,9,2,0.007674728985875845
16,9,1,0.0015678093768656254
16,9,2,0.011979658156633377
21,9,1,0.0017522601410746574
21,9,2,0.013750158250331879
26,9,1,0.0010866601951420307
26,9,2,0.01543544000014663
31,9,1,0.0010791094973683357
31,9,2,0.011958039831370115
36,9,1,0.0010764505714178085
36,9,2,0.013416470028460026
41,9,1,0.0010759616270661354
41,9,2,0.021010232158005238
46,9,1,0.0010760198347270489
46,9,2,0.02278285101056099
51,9,1,0.001081889495253563
51,9,2,0.024526610504835844
56,9,1,0.001072022132575512
56,9,2,0.02652136841788888
61,9,1,0.0010732095688581467
61,9,2,0.019141680095344782
66,9,1,0.001263630110770464
66,9,2,0.021108021028339863
71,9,1,0.0010798592120409012
71,9,2,0.021950968075543642
76,9,1,0.0011061783879995346
76,9,2,0.03801259910687804
81,9,1,0.0010811001993715763
81,9,2,0.024143410846590996
86,9,1,0.0012266403064131737
